treated_idx,control_idx,Z_treated,Z_control,distance_abs,Y_treated,Y_control
1,93,0.7151893663724195,0.7163272041185655,0.0011378377461460643,1.2151893663724196,0.7163272041185655
5,56,0.6458941130666561,0.6531083254653984,0.007214212398742315,1.1458941130666562,0.6531083254653984
6,41,0.4375872112626925,0.4370319537993414,0.0005552574633511109,0.9375872112626924,0.4370319537993414
9,29,0.3834415188257777,0.4146619399905236,0.031220421164745882,0.8834415188257777,0.4146619399905236
10,18,0.7917250380826646,0.7781567509498505,0.013568287132814105,1.2917250380826646,0.7781567509498505
17,18,0.832619846,0.7781567509498505,0.05446309505014957,1.332619845547938,0.7781567509498505
21,18,0.7991585642167236,0.7781567509498505,0.021001813266873115,1.2991585642167236,0.7781567509498505
22,58,0.4614793622529318,0.4663107728563063,0.0048314106033744975,0.9614793622529318,0.4663107728563063
23,18,0.7805291762864555,0.7781567509498505,0.0023724253366049775,1.2805291762864557,0.7781567509498505
25,56,0.6399210213275238,0.6531083254653984,0.013187304137874611,1.139921021327524,0.6531083254653984
31,18,0.7742336894342167,0.7781567509498505,0.003923061515633819,1.2742336894342166,0.7781567509498505
33,12,0.5684339488686485,0.5680445610939323,0.0003893877747161989,1.0684339488686485,0.5680445610939323
35,37,0.6176354970758771,0.6169339968747569,0.0007015002011201421,1.117635497075877,0.6169339968747569
36,37,0.6120957227224214,0.6169339968747569,0.004838274152335509,1.1120957227224215,0.6169339968747569
39,45,0.6818202991034834,0.6706378696181594,0.011182429485323997,1.1818202991034834,0.6706378696181594
40,90,0.359507901,0.3185689524513236,0.04093894854867641,0.859507901,0.3185689524513236
42,93,0.6976311959272649,0.7163272041185655,0.018696008191300684,1.197631195927265,0.7163272041185655
47,92,0.1289262976548533,0.1317978624043921,0.0028715647495387853,0.6289262976548533,0.1317978624043921
48,80,0.3154283509241838,0.317983179,0.0025548280758161956,0.8154283509241839,0.317983179
49,90,0.3637107709426226,0.3185689524513236,0.045141818491299,0.8637107709426226,0.3185689524513236
50,12,0.5701967704178796,0.5680445610939323,0.0021522093239473294,1.0701967704178796,0.5680445610939323
51,41,0.4386015134623203,0.4370319537993414,0.0015695596629788922,0.9386015134623203,0.4370319537993414
55,60,0.1613095178849962,0.1589695836455197,0.00233993423947651,0.6613095178849963,0.1589695836455197
63,26,0.1381829513486138,0.1433532874090464,0.005170336060432601,0.6381829513486138,0.1433532874090464
64,54,0.1965823616800535,0.2088767560948347,0.012294394414781196,0.6965823616800535,0.2088767560948347
65,29,0.3687251706609641,0.4146619399905236,0.04593676932955948,0.8687251706609641,0.4146619399905236
66,18,0.8209932298479351,0.7781567509498505,0.04283647889808462,1.320993229847935,0.7781567509498505
73,2,0.60484552,0.6027633760716439,0.0020821439283561505,1.104845519745046,0.6027633760716439
77,79,0.1201965612131689,0.118727718954244,0.0014688422589249073,0.6201965612131689,0.118727718954244
78,76,0.2961401975221449,0.2828069625764096,0.013333234945735295,0.7961401975221449,0.2828069625764096
81,29,0.4142629945146699,0.4146619399905236,0.0003989454758536737,0.914262995,0.4146619399905236
83,45,0.6924721193700198,0.6706378696181594,0.021834249751860435,1.1924721193700198,0.6706378696181594
91,44,0.6674103799636817,0.6667667154456677,0.0006436645180140088,1.1674103799636817,0.6667667154456677
94,76,0.2894060929472011,0.2828069625764096,0.006599130370791517,0.7894060929472011,0.2828069625764096
96,88,0.5865129348100832,0.5759464955561793,0.010566439253903881,1.086512934810083,0.5759464955561793
98,18,0.8289400292173631,0.7781567509498505,0.05078327826751261,1.328940029217363,0.7781567509498505
